bench,time,size,compression_ratio,ns,time_ratio,quality
compression/unpack/LZ4_flex,3.5962 ns,,0,3.5962,-.9999640380,1.9999640380
compression/unpack/LZZZ_LZ4,5.1047 ns,,0,5.1047,-.9999489530,1.9999489530
compression/unpack/LZZZ_LZ4HC,5.1956 ns,,0,5.1956,-.9999480440,1.9999480440
compression/unpack/LZZZ_LZ4F,313.07 us,,0,313070.00,2.1307000000,-1.1307000000
compression/unpack/LZMA2,721.50 us,,0,721500.00,6.2150000000,-5.2150000000
compression/unpack/LZMA_XZ,2.0124 ms,,0,2012400.0000,19.1240000000,-18.1240000000
compression/unpack/LZ4_fear,2.8039 ms,,0,2803900.0000,27.0390000000,-26.0390000000
compression/unpack/ZSTD-1,3.5817 ms,,0,3581700.0000,34.8170000000,-33.8170000000
compression/unpack/ZSTD-2,3.5951 ms,,0,3595100.0000,34.9510000000,-33.9510000000
compression/unpack/ZSTD-4,4.0446 ms,,0,4044600.0000,39.4460000000,-38.4460000000
compression/unpack/ZSTD-3,4.1439 ms,,0,4143900.0000,40.4390000000,-39.4390000000
compression/unpack/SNAPPY,4.4350 ms,,0,4435000.0000,43.3500000000,-42.3500000000
compression/unpack/ZSTD-5,5.0837 ms,,0,5083700.0000,49.8370000000,-48.8370000000
compression/unpack/ZSTD-6,5.1108 ms,,0,5110800.0000,50.1080000000,-49.1080000000
compression/unpack/ZSTD-7,5.1571 ms,,0,5157100.0000,50.5710000000,-49.5710000000
compression/unpack/ZSTD-9,5.3607 ms,,0,5360700.0000,52.6070000000,-51.6070000000
compression/unpack/ZSTD-8,5.3993 ms,,0,5399300.0000,52.9930000000,-51.9930000000
compression/unpack/LZ4,6.8304 ms,,0,6830400.0000,67.3040000000,-66.3040000000
compression/unpack/Q,14.219 ms,,0,14219000.000,141.1900000000,-140.1900000000
compression/unpack/YAZI-BestSpeed,14.932 ms,,0,14932000.000,148.3200000000,-147.3200000000
compression/unpack/YAZI-Default,15.313 ms,,0,15313000.000,152.1300000000,-151.1300000000
compression/unpack/YAZI-BestSize,15.777 ms,,0,15777000.000,156.7700000000,-155.7700000000
compression/unpack/FLATE-1,18.099 ms,,0,18099000.000,179.9900000000,-178.9900000000
compression/unpack/FLATE-7,19.846 ms,,0,19846000.000,197.4600000000,-196.4600000000
compression/unpack/FLATE-8,19.937 ms,,0,19937000.000,198.3700000000,-197.3700000000
compression/unpack/FLATE-6,20.059 ms,,0,20059000.000,199.5900000000,-198.5900000000
compression/unpack/FLATE-2,20.641 ms,,0,20641000.000,205.4100000000,-204.4100000000
compression/unpack/FLATE-5,21.035 ms,,0,21035000.000,209.3500000000,-208.3500000000
compression/unpack/FLATE-3,21.136 ms,,0,21136000.000,210.3600000000,-209.3600000000
compression/unpack/ZIP,21.495 ms,,0,21495000.000,213.9500000000,-212.9500000000
compression/unpack/FLATE-4,21.538 ms,,0,21538000.000,214.3800000000,-213.3800000000
compression/unpack/BROTLI,41.641 ms,,0,41641000.000,415.4100000000,-414.4100000000
compression/unpack/DEFLATE-Fast,104.86 ms,,0,104860000.00,1047.6000000000,-1046.6000000000
compression/unpack/DEFLATE-Best,119.55 ms,,0,119550000.00,1194.5000000000,-1193.5000000000
compression/unpack/DEFLATE-Default,119.95 ms,,0,119950000.00,1198.5000000000,-1197.5000000000
compression/unpack/LZMA,305.83 ms,,0,305830000.00,3057.3000000000,-3056.3000000000
