compression/pack/Q,46.476 ms,1544273
compression/unpack/Q,14.219 ms,
compression/pack/LZ4,18.778 ms,5788505
compression/unpack/LZ4,6.8304 ms,
compression/pack/LZ4_flex,22.464 ms,5791885
compression/unpack/LZ4_flex,3.5962 ns,
compression/pack/LZ4_fear,2.5893 ms,6589967
compression/unpack/LZ4_fear,2.8039 ms,
compression/pack/LZZZ_LZ4,636.36 us,6615776
compression/unpack/LZZZ_LZ4,5.1047 ns,
compression/pack/LZZZ_LZ4HC,130.44 ms,5740395
compression/unpack/LZZZ_LZ4HC,5.1956 ns,
compression/pack/LZZZ_LZ4F,1.8502 ms,6590359
compression/unpack/LZZZ_LZ4F,313.07 us,
compression/pack/ZSTD-1,5.8818 ms,5684130
compression/unpack/ZSTD-1,3.5817 ms,
compression/pack/ZSTD-2,5.8980 ms,5684130
compression/unpack/ZSTD-2,3.5951 ms,
compression/pack/ZSTD-3,15.975 ms,5607389
compression/unpack/ZSTD-3,4.1439 ms,
compression/pack/ZSTD-4,18.312 ms,5621945
compression/unpack/ZSTD-4,4.0446 ms,
compression/pack/ZSTD-5,68.672 ms,5483982
compression/unpack/ZSTD-5,5.0837 ms,
compression/pack/ZSTD-6,73.266 ms,5484964
compression/unpack/ZSTD-6,5.1108 ms,
compression/pack/ZSTD-7,83.473 ms,5492859
compression/unpack/ZSTD-7,5.1571 ms,
compression/pack/ZSTD-8,86.014 ms,5452115
compression/unpack/ZSTD-8,5.3993 ms,
compression/pack/ZSTD-9,108.18 ms,5453219
compression/unpack/ZSTD-9,5.3607 ms,
compression/pack/SNAPPY,10.964 ms,5934734
compression/unpack/SNAPPY,4.4350 ms,
compression/pack/DEFLATE-Fast,78.759 ms,4415445
compression/unpack/DEFLATE-Fast,104.86 ms,
compression/pack/DEFLATE-Default,560.73 ms,4956328
compression/unpack/DEFLATE-Default,119.95 ms,
compression/pack/DEFLATE-Best,2.8513 s,4956366
compression/unpack/DEFLATE-Best,119.55 ms,
compression/pack/FLATE-1,41.056 ms,4816187
compression/unpack/FLATE-1,18.099 ms,
compression/pack/FLATE-2,110.34 ms,4508461
compression/unpack/FLATE-2,20.641 ms,
compression/pack/FLATE-3,209.44 ms,4928106
compression/unpack/FLATE-3,21.136 ms,
compression/pack/FLATE-4,181.35 ms,4755314
compression/unpack/FLATE-4,21.538 ms,
compression/pack/FLATE-5,244.41 ms,4904072
compression/unpack/FLATE-5,21.035 ms,
compression/pack/FLATE-6,440.15 ms,4961029
compression/unpack/FLATE-6,20.059 ms,
compression/pack/FLATE-7,676.35 ms,4961756
compression/unpack/FLATE-7,19.846 ms,
compression/pack/FLATE-8,1.2985 s,4961784
compression/unpack/FLATE-8,19.937 ms,
compression/pack/YAZI-BestSpeed,101.85 ms,4437095
compression/unpack/YAZI-BestSpeed,14.932 ms,
compression/pack/YAZI-Default,426.48 ms,4961029
compression/unpack/YAZI-Default,15.313 ms,
compression/pack/YAZI-BestSize,1.7993 s,4961793
compression/unpack/YAZI-BestSize,15.777 ms,
compression/pack/LZMA,176.83 ms,4769162
compression/unpack/LZMA,305.83 ms,
compression/pack/LZMA2,443.14 us,6590248
compression/unpack/LZMA2,721.50 us,
compression/pack/LZMA_XZ,574.04 us,6590300
compression/unpack/LZMA_XZ,2.0124 ms,
compression/pack/BROTLI,8.5323 s,3878048
compression/unpack/BROTLI,41.641 ms,
compression/pack/ZIP,453.37 ms,4961135
compression/unpack/ZIP,21.495 ms,
