bench,time,size,compression_ratio,ns,time_ratio,quality
compression/pack/LZMA2,77.898 us,1647565,.999,77898.000,-.9992210200,1.0001105100
compression/pack/LZMA_XZ,84.125 us,1647616,.999,84125.000,-.9991587500,1.0000793750
compression/pack/LZ4_flex,2.5611 ms,726605,2.267,2561100.0000,-.9743890000,.3536945000
compression/pack/LZ4_compression,5.7669 ms,736302,2.237,5766900.0000,-.9423310000,.3526655000
compression/pack/LZZZ_LZ4F,1.6685 ms,561194,2.935,1668500.0000,-.9833150000,.0241575000
compression/pack/LZZZ_LZ4,1.7324 ms,561014,2.936,1732400.0000,-.9826760000,.0233380000
compression/pack/LZ4_fear,4.1608 ms,561033,2.936,4160800.0000,-.9583920000,.0111960000
compression/pack/SNAPPY,2.0343 ms,525721,3.133,2034300.0000,-.9796570000,-.0766715000
compression/pack/FLATE-1,6.7725 ms,388838,4.236,6772500.0000,-.9322750000,-.6518625000
compression/pack/LZMA,23.607 ms,381757,4.315,23607000.000,-.7639300000,-.7755350000
compression/pack/ZSTD-2,3.9322 ms,263787,6.245,3932200.0000,-.9606780000,-1.6421610000
compression/pack/YAZI-BestSpeed,8.4835 ms,256136,6.432,8483500.0000,-.9151650000,-1.7584175000
compression/pack/DEFLATE-Fast,9.9586 ms,256556,6.421,9958600.0000,-.9004140000,-1.7602930000
compression/pack/ZSTD-1,3.5556 ms,254000,6.486,3555600.0000,-.9644440000,-1.7607780000
compression/pack/ZSTD-4,3.7272 ms,252792,6.517,3727200.0000,-.9627280000,-1.7771360000
compression/pack/ZSTD-3,3.5806 ms,252645,6.520,3580600.0000,-.9641940000,-1.7779030000
compression/pack/FLATE-2,10.354 ms,242637,6.789,10354000.000,-.8964600000,-1.9462700000
compression/pack/ZSTD-5,12.698 ms,233926,7.042,12698000.000,-.8730200000,-2.0844900000
compression/pack/FLATE-4,24.274 ms,233933,7.042,24274000.000,-.7572600000,-2.1423700000
compression/pack/ZSTD-6,20.995 ms,225246,7.314,20995000.000,-.7900500000,-2.2619750000
compression/pack/FLATE-5,33.473 ms,226671,7.268,33473000.000,-.6652700000,-2.3013650000
compression/pack/FLATE-3,20.140 ms,218411,7.543,20140000.000,-.7986000000,-2.3722000000
compression/pack/ZSTD-7,29.078 ms,218568,7.537,29078000.000,-.7092200000,-2.4138900000
compression/pack/ZSTD-9,40.223 ms,219172,7.516,40223000.000,-.5977700000,-2.4591150000
compression/pack/ZSTD-8,40.905 ms,219172,7.516,40905000.000,-.5909500000,-2.4625250000
compression/pack/LZZZ_LZ4HC,235.32 ms,293384,5.615,235320000.00,1.3532000000,-2.4841000000
compression/pack/YAZI-Default,77.061 ms,213366,7.721,77061000.000,-.2293900000,-2.7458050000
compression/pack/ZIP,81.790 ms,213472,7.717,81790000.000,-.1821000000,-2.7674500000
compression/pack/FLATE-6,82.467 ms,213366,7.721,82467000.000,-.1753300000,-2.7728350000
compression/pack/DEFLATE-Default,144.42 ms,210739,7.817,144420000.00,.4442000000,-3.1306000000
compression/pack/FLATE-7,137.80 ms,208680,7.894,137800000.00,.3780000000,-3.1360000000
compression/pack/Q-compression,13.807 ms,161372,10.209,13807000.000,-.8619300000,-3.6735350000
compression/pack/FLATE-8,235.26 ms,205263,8.026,235260000.00,1.3526000000,-3.6893000000
compression/pack/YAZI-BestSize,303.77 ms,203582,8.092,303770000.00,2.0377000000,-4.0648500000
compression/pack/DEFLATE-Best,890.64 ms,200773,8.205,890640000.00,7.9064000000,-7.0557000000
compression/pack/BROTLI,3.7088 s,164569,10.010,3708800000.0000,36.0880000000,-22.0490000000
