bench,pack_time,unpack_time,compression_ratio,total_quality
compression/unpack/ZSTD-8,1.3266 ms,,compression/unpack/ZSTD-9,0
compression/unpack/ZSTD-6,1.5585 ms,,compression/unpack/ZSTD-7,0
compression/unpack/ZSTD-4,2.0469 ms,,compression/unpack/ZSTD-5,0
compression/unpack/ZSTD-2,2.4761 ms,,compression/unpack/ZSTD-3,0
compression/unpack/ZIP,2.4480 ms,,compression/unpack/ZSTD-1,0
compression/unpack/YAZI-BestSpeed,3.0566 ms,,compression/unpack/YAZI-Default,0
compression/unpack/SNAPPY,1.1748 ms,,compression/unpack/YAZI-BestSize,0
compression/unpack/LZZZ_LZ4HC,5.1781 ns,,compression/unpack/Q-compression,0
compression/unpack/LZZZ_LZ4,5.1902 ns,,compression/unpack/LZZZ_LZ4F,0
compression/unpack/LZMA2,140.91 us,,compression/unpack/LZMA_XZ,0
compression/unpack/LZ4_flex,3.3326 ns,,compression/unpack/LZMA,0
compression/unpack/LZ4_compression,3.2053 ms,,compression/unpack/LZ4_fear,0
compression/unpack/FLATE-7,2.1706 ms,,compression/unpack/FLATE-8,0
compression/unpack/FLATE-5,2.9869 ms,,compression/unpack/FLATE-6,0
compression/unpack/FLATE-3,2.8447 ms,,compression/unpack/FLATE-4,0
compression/unpack/FLATE-1,5.0069 ms,,compression/unpack/FLATE-2,0
compression/unpack/DEFLATE-Default,4.7557 ms,,compression/unpack/DEFLATE-Fast,0
compression/unpack/BROTLI,2.4678 ms,,compression/unpack/DEFLATE-Best,0
compression/pack/ZSTD-8,40.905 ms,,compression/pack/ZSTD-9,0
compression/pack/ZSTD-6,20.995 ms,,compression/pack/ZSTD-7,0
compression/pack/ZSTD-4,3.7272 ms,,compression/pack/ZSTD-5,0
compression/pack/ZSTD-2,3.9322 ms,,compression/pack/ZSTD-3,0
compression/pack/ZIP,81.790 ms,,compression/pack/ZSTD-1,0
compression/pack/YAZI-BestSpeed,8.4835 ms,,compression/pack/YAZI-Default,0
compression/pack/SNAPPY,2.0343 ms,,compression/pack/YAZI-BestSize,0
compression/pack/LZZZ_LZ4HC,235.32 ms,,compression/pack/Q-compression,0
compression/pack/LZZZ_LZ4,1.7324 ms,,compression/pack/LZZZ_LZ4F,0
compression/pack/LZMA2,77.898 us,,compression/pack/LZMA_XZ,0
compression/pack/LZ4_flex,2.5611 ms,,compression/pack/LZMA,0
compression/pack/LZ4_compression,5.7669 ms,,compression/pack/LZ4_fear,0
compression/pack/FLATE-7,137.80 ms,,compression/pack/FLATE-8,0
compression/pack/FLATE-5,33.473 ms,,compression/pack/FLATE-6,0
compression/pack/FLATE-3,20.140 ms,,compression/pack/FLATE-4,0
compression/pack/FLATE-1,6.7725 ms,,compression/pack/FLATE-2,0
compression/pack/DEFLATE-Default,144.42 ms,,compression/pack/DEFLATE-Fast,0
compression/pack/BROTLI,3.7088 s,,compression/pack/DEFLATE-Best,0
